Request Type,Name,Start Time,Response Time (ms),Response Length,Payload Size ,Cryptographed Payload Size (bytes),Cryptographed Key Size (bytes),User Key Size (bytes),User Attributes,Status Code,Exception
POST,/api/setup_authority,1764430885.9499803,131.76655700226547,67,,,,,,200,
POST,/api/keygen,1764430886.0830636,80.65491399975144,1056,,,,504,1,200,
POST,/api/setup_authority,1764430886.9400406,28.681108000455424,67,,,,,,200,
POST,/api/keygen,1764430886.9691017,99.96450100152288,1048,,,,500,1,200,
POST,/api/setup_authority,1764430887.1560798,29.739591001998633,67,,,,,,200,
POST,/api/keygen,1764430887.1862953,110.84982399916044,1056,,,,504,1,200,
POST,/api/setup_authority,1764430888.1564493,84.3453990019043,67,,,,,,200,
POST,/api/keygen,1764430888.120253,146.668318000593,1064,,,,508,1,200,
POST,/api/keygen,1764430888.2412043,77.482158998464,1680,,,,816,2,200,
POST,/api/keygen,1764430888.624323,88.23427199968137,1080,,,,516,1,200,
POST,/api/setup_authority,1764430889.1586022,28.358453000691952,67,,,,,,200,
POST,/api/keygen,1764430889.187698,88.80012499867007,1064,,,,508,1,200,
POST,/api/keygen,1764430889.49805,94.21081699838396,1056,,,,504,1,200,
POST,/api/setup_authority,1764430890.1602697,26.10521800306742,67,,,,,,200,
POST,/api/keygen,1764430890.1867323,91.34346799692139,1080,,,,516,1,200,
POST,/api/keygen,1764430891.0660813,77.74110900209052,1640,,,,796,2,200,
POST,/api/setup_authority,1764430891.1604826,60.538584999449085,67,,,,,,200,
POST,/api/keygen,1764430891.2215292,63.36071899931994,1064,,,,508,1,200,
POST,/api/keygen,1764430891.3186395,62.533292002626695,1080,,,,516,1,200,
POST,/api/keygen,1764430891.5333269,89.06171199851087,1064,,,,508,1,200,
POST,/api/setup_authority,1764430892.1616116,46.88552500010701,67,,,,,,200,
POST,/api/keygen,1764430892.209019,94.61006499986979,1064,,,,508,1,200,
POST,/api/keygen,1764430892.3537395,89.1411260017776,1672,,,,812,2,200,
POST,/api/setup_authority,1764430893.1636524,40.390062997175846,67,,,,,,200,
POST,/api/keygen,1764430893.2046726,120.65499800155521,1688,,,,820,2,200,
POST,/api/keygen,1764430893.9453712,86.03711099931388,1064,,,,508,1,200,
POST,/api/keygen,1764430894.135323,124.2965980018198,1072,,,,512,1,200,
POST,/api/setup_authority,1764430894.1657128,94.38831200168352,67,,,,,,200,
POST,/api/keygen,1764430894.260391,188.35207899974193,1072,,,,512,1,200,
POST,/api/keygen,1764430894.328369,194.11144700279692,1040,,,,496,1,200,
POST,/api/keygen,1764430894.5314362,294.53107899826136,1720,,,,836,2,200,
POST,/api/keygen,1764430894.5144913,321.3826159990276,2240,,,,1096,3,200,
POST,/api/keygen,1764430894.610247,289.2225530013093,1056,,,,504,1,200,
POST,/api/keygen,1764430895.3073604,76.09046700235922,1056,,,,504,1,200,
POST,/api/keygen,1764430895.534923,73.60061200233758,1072,,,,512,1,200,
POST,/api/keygen,1764430895.583456,103.70037800021237,1064,,,,508,1,200,
POST,/api/keygen,1764430895.7026691,80.50149599876022,1688,,,,820,2,200,
POST,/api/keygen,1764430896.23174,148.8524439992034,1672,,,,812,2,200,
POST,/api/keygen,1764430896.8113108,107.26111999974819,1088,,,,520,1,200,
POST,/api/keygen,1764430897.0015576,92.04244599823141,1072,,,,512,1,200,
POST,/api/keygen,1764430897.6010938,58.76787399756722,1072,,,,512,1,200,
POST,/api/keygen,1764430898.2552164,61.16100399958668,1080,,,,516,1,200,
POST,/api/keygen,1764430898.400705,114.98280999876442,1704,,,,828,2,200,
POST,/api/keygen,1764430898.4441195,167.6205879994086,2216,,,,1084,3,200,
POST,/api/keygen,1764430898.6757636,75.80681000035838,1064,,,,508,1,200,
POST,/api/keygen,1764430898.9756548,132.16309700146667,1072,,,,512,1,200,
POST,/api/keygen,1764430898.98086,163.8757649998297,1080,,,,516,1,200,
POST,/api/keygen,1764430899.1513672,71.97279100000742,1064,,,,508,1,200,
POST,/api/keygen,1764430900.1723626,91.9310850003967,1664,,,,808,2,200,
POST,/api/keygen,1764430900.4153464,127.87099900015164,1704,,,,828,2,200,
POST,/api/keygen,1764430900.4941144,97.29373900336213,1680,,,,816,2,200,
POST,/api/keygen,1764430900.7038186,98.17180800018832,1072,,,,512,1,200,
POST,/api/keygen,1764430900.815747,91.24767599860206,1064,,,,508,1,200,
POST,/api/keygen,1764430901.5247266,96.4057880009932,1064,,,,508,1,200,
POST,/api/keygen,1764430901.5694492,119.64777799948934,1072,,,,512,1,200,
POST,/api/keygen,1764430901.841691,83.59387399832485,1656,,,,804,2,200,
POST,/api/keygen,1764430901.9513977,135.56959900233778,2240,,,,1096,3,200,
POST,/api/keygen,1764430902.5349777,129.08677399900625,1064,,,,508,1,200,
POST,/api/keygen,1764430902.827085,68.97956999819144,1080,,,,516,1,200,
POST,/api/keygen,1764430903.0263035,241.97895099860034,1080,,,,516,1,200,
POST,/api/keygen,1764430903.122849,231.24658499727957,1064,,,,508,1,200,
POST,/api/keygen,1764430903.2832532,144.7017140017124,2264,,,,1108,3,200,
POST,/api/keygen,1764430903.6464698,105.73633999956655,1688,,,,820,2,200,
POST,/api/keygen,1764430904.0730944,115.22746999980882,1688,,,,820,2,200,
POST,/api/keygen,1764430904.3777568,103.3927330026927,1072,,,,512,1,200,
POST,/api/keygen,1764430904.6310418,95.09343900208478,1072,,,,512,1,200,
POST,/api/keygen,1764430905.164931,89.98175699889543,1056,,,,504,1,200,
POST,/api/keygen,1764430905.9442127,183.67700000089826,1088,,,,520,1,200,
POST,/api/keygen,1764430905.960868,169.63195800053654,1696,,,,824,2,200,
POST,/api/keygen,1764430906.564828,113.06730299838819,1672,,,,812,2,200,
POST,/api/keygen,1764430906.7721217,79.99509799992666,2784,,,,1368,4,200,
POST,/api/keygen,1764430906.9986482,146.4402479978162,2280,,,,1116,3,200,
POST,/api/keygen,1764430907.3846815,84.49489400300081,1680,,,,816,2,200,
POST,/api/keygen,1764430907.4820945,102.78042299978551,1672,,,,812,2,200,
POST,/api/keygen,1764430908.0208175,148.96086899898364,1704,,,,828,2,200,
POST,/api/keygen,1764430908.0461974,134.3006869974488,1680,,,,816,2,200,
POST,/api/keygen,1764430908.2596455,101.14214699933655,2272,,,,1112,3,200,
POST,/api/keygen,1764430908.4811172,112.89649500031373,2248,,,,1100,3,200,
POST,/api/keygen,1764430908.6941316,78.36161900195293,1680,,,,816,2,200,
POST,/api/keygen,1764430908.7995803,113.83054200268816,1680,,,,816,2,200,
POST,/api/keygen,1764430909.5016415,196.75717000063742,1704,,,,828,2,200,
POST,/api/keygen,1764430909.595205,181.587267001305,1696,,,,824,2,200,
POST,/api/keygen,1764430909.9093826,163.46365500066895,2256,,,,1104,3,200,
POST,/api/keygen,1764430909.9825587,177.30775000018184,2792,,,,1372,4,200,
POST,/api/keygen,1764430910.1010215,249.09001500054728,1696,,,,824,2,200,
POST,/api/keygen,1764430910.127828,225.0927459972445,1688,,,,820,2,200,
POST,/api/keygen,1764430911.201268,105.4794990013761,1696,,,,824,2,200,
POST,/api/keygen,1764430911.296942,129.55301799956942,1672,,,,812,2,200,
POST,/api/keygen,1764430912.127183,114.39258400059771,2224,,,,1088,3,200,
POST,/api/keygen,1764430912.2514524,119.01555900112726,2272,,,,1112,3,200,
